 52   36.409894 2.854E-28 4.990E-05.05800.064 2259.96800.750.000545              1              1                    R  9      587664 3 1 2 2 1 5    42.0   38.0,224627,#,ElecStateLabel=X;v=1;J=10,ElecStateLabel=X;v=1;J=9,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   36.737068 1.324E-23 8.854E-05.05800.064  165.37220.750.000545              0              0                    R  9      657665 4 5 2 2 1 5    42.0   38.0,224629,#,ElecStateLabel=X;v=0;J=10,ElecStateLabel=X;v=0;J=9,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   40.045719 3.137E-28 6.631E-05.05730.063 2296.37790.750.000505              1              1                    R 10      587664 3 1 2 2 1 5    46.0   42.0,224639,#,ElecStateLabel=X;v=1;J=11,ElecStateLabel=X;v=1;J=10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   40.405608 1.455E-23 1.178E-04.05730.063  202.10920.750.000505              0              0                    R 10      657665 4 5 2 2 1 5    46.0   42.0,224641,#,ElecStateLabel=X;v=0;J=11,ElecStateLabel=X;v=0;J=10,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   43.680068 3.302E-28 8.583E-05.05670.062 2336.42360.740.000555              1              1                    R 11      587664 3 1 2 2 1 5    50.0   46.0,224651,#,ElecStateLabel=X;v=1;J=12,ElecStateLabel=X;v=1;J=11,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   44.072672 1.532E-23 1.528E-04.05670.062  242.51480.740.000555              0              0                    R 11      657665 4 5 2 2 1 5    50.0   46.0,224653,#,ElecStateLabel=X;v=0;J=12,ElecStateLabel=X;v=0;J=11,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   47.312808 3.343E-28 1.087E-04.05610.061 2380.10370.730.000540              1              1                    R 12      587664 3 1 2 2 1 5    54.0   50.0,224663,#,ElecStateLabel=X;v=1;J=13,ElecStateLabel=X;v=1;J=12,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   47.738127 1.550E-23 1.938E-04.05610.061  286.58750.730.000540              0              0                    R 12      657665 4 5 2 2 1 5    54.0   50.0,224665,#,ElecStateLabel=X;v=0;J=13,ElecStateLabel=X;v=0;J=12,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   50.943805 3.264E-28 1.350E-04.05550.061 2427.41650.720.000530              1              1                    R 13      587664 3 1 2 2 1 5    58.0   54.0,224675,#,ElecStateLabel=X;v=1;J=14,ElecStateLabel=X;v=1;J=13,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   51.401837 1.513E-23 2.412E-04.05550.061  334.32560.720.000530              0              0                    R 13      657665 4 5 2 2 1 5    58.0   54.0,224677,#,ElecStateLabel=X;v=0;J=14,ElecStateLabel=X;v=0;J=13,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   54.572924 3.083E-28 1.651E-04.05490.060 2478.36030.710.000420              1              1                    R 14      587664 3 1 2 2 1 5    62.0   58.0,224687,#,ElecStateLabel=X;v=1;J=15,ElecStateLabel=X;v=1;J=14,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   55.063670 1.429E-23 2.956E-04.05490.060  385.72750.710.000420              0              0                    R 14      657665 4 5 2 2 1 5    62.0   58.0,224689,#,ElecStateLabel=X;v=0;J=15,ElecStateLabel=X;v=0;J=14,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   58.200033 2.820E-28 1.989E-04.05420.059 2532.93320.700.000465              1              1                    R 15      587664 3 1 2 2 1 5    66.0   62.0,224699,#,ElecStateLabel=X;v=1;J=16,ElecStateLabel=X;v=1;J=15,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   58.723491 1.307E-23 3.570E-04.05420.059  440.79120.700.000465              0              0                    R 15      657665 4 5 2 2 1 5    66.0   62.0,224701,#,ElecStateLabel=X;v=0;J=16,ElecStateLabel=X;v=0;J=15,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   61.824997 2.504E-28 2.367E-04.05350.058 2591.13320.690.000550              1              1                    R 16      587664 3 1 2 2 1 5    70.0   66.0,224711,#,ElecStateLabel=X;v=1;J=17,ElecStateLabel=X;v=1;J=16,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   62.381168 1.160E-23 4.257E-04.05350.058  499.51460.690.000550              0              0                    R 16      657665 4 5 2 2 1 5    70.0   66.0,224714,#,ElecStateLabel=X;v=0;J=17,ElecStateLabel=X;v=0;J=16,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   65.447683 2.161E-28 2.786E-04.05270.057 2652.95820.680.000470              1              1                    R 17      587664 3 1 2 2 1 5    74.0   70.0,224723,#,ElecStateLabel=X;v=1;J=18,ElecStateLabel=X;v=1;J=17,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   66.036564 1.001E-23 5.024E-04.05270.057  561.89580.680.000470              0              0                    R 17      657665 4 5 2 2 1 5    74.0   70.0,224726,#,ElecStateLabel=X;v=0;J=18,ElecStateLabel=X;v=0;J=17,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   69.067956 1.814E-28 3.246E-04.05190.056 2718.40590.670.000380              1              1                    R 18      587664 3 1 2 2 1 5    78.0   74.0,224734,#,ElecStateLabel=X;v=1;J=19,ElecStateLabel=X;v=1;J=18,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   69.689546 8.402E-24 5.869E-04.05190.056  627.93240.670.000380              0              0                    R 18      657665 4 5 2 2 1 5    78.0   74.0,224738,#,ElecStateLabel=X;v=0;J=19,ElecStateLabel=X;v=0;J=18,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   72.685684 1.483E-28 3.747E-04.05100.055 2787.47390.670.000310              1              1                    R 19      587664 3 1 2 2 1 5    82.0   78.0,224747,#,ElecStateLabel=X;v=1;J=20,ElecStateLabel=X;v=1;J=19,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   73.339985 6.867E-24 6.795E-04.05100.055  697.62190.670.000310              0              0                    R 19      657665 4 5 2 2 1 5    82.0   78.0,224751,#,ElecStateLabel=X;v=0;J=20,ElecStateLabel=X;v=0;J=19,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   76.300733 1.182E-28 4.291E-04.05000.054 2860.15960.670.000280              1              1                    R 20      587624 3 1 2 2 1 5    86.0   82.0,224759,#,ElecStateLabel=X;v=1;J=21,ElecStateLabel=X;v=1;J=20,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   76.987743 5.470E-24 7.802E-04.05000.054  770.96190.670.000280              0              0                    R 20      657625 4 5 2 2 1 5    86.0   82.0,224763,#,ElecStateLabel=X;v=0;J=21,ElecStateLabel=X;v=0;J=20,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   79.912969 9.183E-29 4.874E-04.04910.053 2936.46030.670.000320              1              1                    R 21      587624 3 1 2 2 1 5    90.0   86.0,224771,#,ElecStateLabel=X;v=1;J=22,ElecStateLabel=X;v=1;J=21,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   80.632687 4.251E-24 8.896E-04.04910.053  847.94970.670.000320              0              0                    R 21      657625 4 5 2 2 1 5    90.0   86.0,224775,#,ElecStateLabel=X;v=0;J=22,ElecStateLabel=X;v=0;J=21,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   83.522260 6.964E-29 5.499E-04.04830.052 3016.37330.67-.000050              1              1                    R 22      587624 3 1 2 2 1 5    94.0   90.0,224782,#,ElecStateLabel=X;v=1;J=23,ElecStateLabel=X;v=1;J=22,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   84.274684 3.223E-24 1.007E-03.04830.052  928.58230.67-.000050              0              0                    R 22      657625 4 5 2 2 1 5    94.0   90.0,224786,#,ElecStateLabel=X;v=0;J=23,ElecStateLabel=X;v=0;J=22,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   87.128471 5.157E-29 6.166E-04.04750.051 3099.89550.670.000000              1              1                    R 23      587620 3 1 2 2 1 0    98.0   94.0,224795,#,ElecStateLabel=X;v=1;J=24,ElecStateLabel=X;v=1;J=23,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   87.913601 2.386E-24 1.133E-03.04750.051 1012.85700.670.000000              0              0                    R 23      657620 4 5 2 2 1 0    98.0   94.0,224798,#,ElecStateLabel=X;v=0;J=24,ElecStateLabel=X;v=0;J=23,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   90.731469 3.730E-29 6.870E-04.04690.050 3187.02400.670.000000              1              1                    R 24      587620 3 1 2 2 1 0   102.0   98.0,224807,#,ElecStateLabel=X;v=1;J=25,ElecStateLabel=X;v=1;J=24,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   91.549303 1.726E-24 1.267E-03.04690.050 1100.77060.670.000000              0              0                    R 24      657620 4 5 2 2 1 0   102.0   98.0,224810,#,ElecStateLabel=X;v=0;J=25,ElecStateLabel=X;v=0;J=24,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   94.331122 2.637E-29 7.614E-04.04640.048 3277.75550.670.000000              1              1                    R 25      587620 3 1 2 2 1 0   106.0  102.0,224819,#,ElecStateLabel=X;v=1;J=26,ElecStateLabel=X;v=1;J=25,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   95.181662 1.220E-24 1.410E-03.04640.048 1192.31990.670.000000              0              0                    R 25      657620 4 5 2 2 1 0   106.0  102.0,224822,#,ElecStateLabel=X;v=0;J=26,ElecStateLabel=X;v=0;J=25,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   97.927296 1.822E-29 8.392E-04.04570.047 3372.08660.670.000000              1              1                    R 26      586620 3 1 2 2 1 0   110.0  106.0,224831,#,ElecStateLabel=X;v=1;J=27,ElecStateLabel=X;v=1;J=26,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52   98.810538 8.433E-25 1.561E-03.04510.047 1287.50160.670.000000              0              0                    R 26      656620 4 5 2 2 1 0   110.0  106.0,224834,#,ElecStateLabel=X;v=0;J=27,ElecStateLabel=X;v=0;J=26,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
 52  101.519858 1.232E-29 9.210E-04.04510.046 3470.01390.670.000000              1              1                    R 27      586620 3 1 2 2 1 0   114.0  110.0,224842,#,ElecStateLabel=X;v=1;J=28,ElecStateLabel=X;v=1;J=27,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
